Station_code,longitude,latitude
001,5.843345,52.75417333
002,5.85391166,52.74851
006,5.83398,52.75690666
007,5.833095,52.75603166
008,5.83741166,52.75539333
009,5.84620833,52.75402333
010,5.83675666,52.75469666
011,5.83933666,52.754255
012,5.84470166,52.75436833
015,5.83893166,52.75388833
017,5.84676666,52.750745
018,5.83397666,52.75182166
019,5.83716,52.75069833
